user_id,product_id,views
546806300,1004870,5
546806300,2601779,2
546806300,1004873,2
546806300,2601989,2
546806300,1801949,1
546806300,1005014,1
546806300,2601917,1
546806300,2602038,1
546806300,15100244,1
546806300,1306659,1
546806300,6300198,1
546806300,1004833,1
546806300,2601288,1
546806300,15100110,1
546806300,1801844,1
546806300,1801573,1
546806300,8800773,1
546806300,1004433,1
546806300,13200019,1
546806300,40500139,1
546806300,1002906,1
546806300,15100252,1
546806300,15100227,1
546806300,1801964,1
546806300,15100404,1
546806300,1306754,1
546806300,15100224,1
546806300,1005186,1
546806300,3600661,1
546806300,1801350,1
546806300,1004977,1
546806300,2601810,1
546806300,1307401,1
546806300,1005174,1
546806300,15100008,1
546806300,1306421,1
546806300,26203735,1
546806300,1801784,1
546806306,8902043,1
546806342,1005253,12
546806342,1005221,10
546806342,1005031,7
546806342,1004872,6
546806342,1005288,4
546806342,1005239,4
546806407,100015219,1
546806407,26204061,1
546806407,26400794,1
546806407,26401587,1
546806439,1004956,7
546806439,1004856,3
546806439,1004932,2
546806439,1005022,2
546806439,1004957,2
546806465,3700748,2
546806465,3601347,1
546806465,1005177,1
546806465,1005142,1
546806465,3600182,1
546806465,28718988,1
546806465,3701056,1
546806465,100008405,1
546806465,3600253,1
546806465,100008551,1
546806465,1005062,1
546806465,3600975,1
546806680,15100008,3
546806680,13201121,2
546806680,15700108,2
546806680,17300765,1
546806680,15700044,1
546806680,10300400,1
546806680,10300426,1
546806694,10800117,6
546806694,10800180,5
546806694,10800076,5
546806694,10800174,3
546806694,10800217,2
546806694,19400002,2
546806694,19400037,2
546806694,10800177,2
546806694,3700690,2
546806761,13100393,7
546806761,13100713,3
546806761,4802199,1
546806761,13103550,1
546807002,1005098,7
546807002,1005168,6
546807002,1002906,4
546807002,1004858,4
546807002,1002876,2
546807002,1004863,2
546807002,1004426,2
546807002,1004856,2
546807002,29300561,2
546807035,1005115,2
546807035,1004249,1
546807074,1005160,4
546807130,4201502,2
546807156,1002544,3
546807156,1005008,2
546807156,1005115,2
546807156,1005186,1
546807156,1004258,1
546807156,1004781,1
546807160,6500909,5
546807160,6400361,3
546807160,6400363,3
